user_pseudo_id,item_id,item_name,price_in_usd,price,quantity,item_revenue_in_usd,item_revenue,event_date,event_timestamp,country,region,mobile_brand_name,mobile_model_name
1052482.1904194731,9195249,Google Toddler FC Zip Hoodie,28,28,1,28,28,20201121,1605942465523353,United States,Connecticut,Google,Chrome
1052482.1904194731,9197951,Google Sunnyvale Campus Mug,7,7,1,7,7,20201121,1605942465523353,United States,Connecticut,Google,Chrome
1052482.1904194731,9199130,Super G Unisex Joggers,30,30,1,30,30,20201121,1605942465561310,United States,Connecticut,Google,Chrome
1052482.1904194731,9197951,Google Sunnyvale Campus Mug,7,7,1,7,7,20201121,1605942465561310,United States,Connecticut,Google,Chrome
1052482.1904194731,9195249,Google Toddler FC Zip Hoodie,28,28,1,28,28,20201121,1605942465561310,United States,Connecticut,Google,Chrome
4231038.0723891741,9197457,Google Super G Tumbler (Blue Lid),22,22,1,22,22,20201121,1605943968912411,France,Ile-de-France,Google,Chrome
4231038.0723891741,9195197,Google F/C Longsleeve Charcoal,24,24,1,24,24,20201121,1605943968912411,France,Ile-de-France,Google,Chrome
4231038.0723891741,9195710,Google Leather Strap Hat Black,14,14,1,14,14,20201121,1605943968912411,France,Ile-de-France,Google,Chrome
4231038.0723891741,9197457,Google Super G Tumbler (Blue Lid),22,22,1,22,22,20201121,1605943968873691,France,Ile-de-France,Google,Chrome
4231038.0723891741,9195710,Google Leather Strap Hat Black,14,14,1,14,14,20201121,1605943968873691,France,Ile-de-France,Google,Chrome
4231038.0723891741,9195197,Google F/C Longsleeve Charcoal,24,24,1,24,24,20201121,1605943968873691,France,Ile-de-France,Google,Chrome
6027887.5211064946,9184988,Google Emoji Sticker Pack,4,4,1,4,4,20201121,1605975578571510,Taiwan,Taipei City,Xiaomi,<Other>
6027887.5211064946,9185010,Google Bot,8,8,1,8,8,20201121,1605975578571510,Taiwan,Taipei City,Xiaomi,<Other>
6027887.5211064946,9196784,Google Emoji Magnet Set,8,8,2,16,16,20201121,1605975578571510,Taiwan,Taipei City,Xiaomi,<Other>
6027887.5211064946,9196784,Google Emoji Magnet Set,8,8,2,16,16,20201121,1605975578599913,Taiwan,Taipei City,Xiaomi,<Other>
6027887.5211064946,9184988,Google Emoji Sticker Pack,4,4,1,4,4,20201121,1605975578599913,Taiwan,Taipei City,Xiaomi,<Other>
6027887.5211064946,9185010,Google Bot,8,8,1,8,8,20201121,1605975578599913,Taiwan,Taipei City,Xiaomi,<Other>
39882887.2837298291,9195031,Google Thermal Tumbler Navy,14,14,1,14,14,20201121,1605935798955517,Taiwan,Taoyuan City,Google,Chrome
39882887.2837298291,9188314,Android Hipster Pin,4,4,1,4,4,20201121,1605935798955517,Taiwan,Taoyuan City,Google,Chrome
